,money,name,share1,share10,share2,share3,share4,share5,share6,share7,share8,share9
23,YES,Player 24,MEXICO,MEXICO,MEXICO,MEXICO,USA,USA,PORTUGAL,CAMEROON,DENMARK,MOROCCO
24,YES,Player 25,ARGENTINA,GERMANY,BRAZIL,GERMANY,BELGIUM,ENGLAND,FRANCE,PORTUGAL,ARGENTINA,BRAZIL
25,YES,Player 26,FRANCE,ENGLAND,ARGENTINA,ARGENTINA,FRANCE,GERMANY,PORTUGAL,PORTUGAL,ENGLAND,ENGLAND
26,YES,Player 27,ARGENTINA,SWITZERLAND,ENGLAND,URUGUAY,USA,JAPAN,SERBIA,DENMARK,MOROCCO,NETHERLANDS
27,YES,Player 28,DENMARK,POLAND,DENMARK,BELGIUM,BELGIUM,URUGUAY,GHANA,BRAZIL,BRAZIL,BRAZIL
28,YES,Player 29,SERBIA,QATAR,SERBIA,FRANCE,FRANCE,FRANCE,DENMARK,POLAND,ENGLAND,ENGLAND
29,YES,Player 30,NETHERLANDS,POLAND,NETHERLANDS,URUGUAY,URUGUAY,DENMARK,DENMARK,FRANCE,FRANCE,FRANCE
30,NO,Player 31,DENMARK,DENMARK,ARGENTINA,ARGENTINA,ARGENTINA,DENMARK,BRAZIL,BRAZIL,BRAZIL,DENMARK
31,NO,Player 32,ARGENTINA,BRAZIL,BRAZIL,FRANCE,GERMANY,ARGENTINA,ARGENTINA,BRAZIL,GERMANY,FRANCE
32,NO,Player 33,ARGENTINA,PORTUGAL,CROATIA,ENGLAND,FRANCE,GERMANY,POLAND,SERBIA,URUGUAY,SPAIN
33,YES,Player 34,NETHERLANDS,PORTUGAL,NETHERLANDS,FRANCE,FRANCE,GERMANY,GERMANY,ARGENTINA,ARGENTINA,SPAIN
34,NO,Player 35,ARGENTINA,CANADA,ARGENTINA,ARGENTINA,ARGENTINA,FRANCE,FRANCE,FRANCE,BRAZIL,BRAZIL
35,YES,Player 36,ARGENTINA,FRANCE,ARGENTINA,ARGENTINA,BRAZIL,BRAZIL,BRAZIL,SERBIA,SERBIA,FRANCE
36,YES,Player 37,JAPAN,SWITZERLAND,QATAR,BELGIUM,BRAZIL,COSTA RICA,JAPAN,JAPAN,AUSTRALIA,SWITZERLAND
37,NO,Player 38,SERBIA,ARGENTINA,WALES,PORTUGAL,PORTUGAL,NETHERLANDS,ENGLAND,ENGLAND,BRAZIL,ARGENTINA
38,YES,Player 39,SERBIA,PORTUGAL,ARGENTINA,ARGENTINA,BRAZIL,BRAZIL,ENGLAND,ENGLAND,FRANCE,FRANCE
39,NO,Player 40,BRAZIL,PORTUGAL,ARGENTINA,FRANCE,GERMANY,NETHERLANDS,SPAIN,ENGLAND,BELGIUM,SERBIA
