name,share1,share10,share2,share3,share4,share5,share6,share7,share8,share9
Player 144,NETHERLANDS,CROATIA,NETHERLANDS,NETHERLANDS,ECUADOR,ECUADOR,COSTA RICA,MEXICO,MEXICO,CROATIA
Player 145,ARGENTINA,NETHERLANDS,ARGENTINA,ARGENTINA,BELGIUM,BELGIUM,BRAZIL,BRAZIL,BRAZIL,NETHERLANDS
Player 146,GHANA,BRAZIL,GHANA,MOROCCO,MOROCCO,TUNISIA,TUNISIA,POLAND,POLAND,BRAZIL
Player 147,ARGENTINA,GERMANY,ARGENTINA,ARGENTINA,ARGENTINA,BRAZIL,BRAZIL,BRAZIL,PORTUGAL,PORTUGAL
Player 148,PORTUGAL,ECUADOR,PORTUGAL,PORTUGAL,PORTUGAL,GHANA,GHANA,GHANA,ECUADOR,ECUADOR
Player 149,ARGENTINA,PORTUGAL,ARGENTINA,USA,USA,BRAZIL,BRAZIL,FRANCE,FRANCE,PORTUGAL
Player 150,JAPAN,DENMARK,JAPAN,CANADA,CANADA,CANADA,SWITZERLAND,SWITZERLAND,DENMARK,DENMARK
Player 151,PORTUGAL,SPAIN,PORTUGAL,PORTUGAL,FRANCE,ENGLAND,ENGLAND,QATAR,SENEGAL,SPAIN
Player 152,SERBIA,ARGENTINA,WALES,PORTUGAL,PORTUGAL,NETHERLANDS,ENGLAND,ENGLAND,BRAZIL,ARGENTINA
Player 153,NETHERLANDS,URUGUAY,NETHERLANDS,ENGLAND,USA,ARGENTINA,GERMANY,GERMANY,CROATIA,CROATIA
Player 154,SAUDI ARABIA,CAMEROON,ECUADOR,ENGLAND,AUSTRALIA,BELGIUM,BRAZIL,SENEGAL,GERMANY,USA
Player 155,ENGLAND,BELGIUM,ENGLAND,BRAZIL,BRAZIL,FRANCE,FRANCE,IRAN,IRAN,BELGIUM
Player 156,SENEGAL,DENMARK,ECUADOR,NETHERLANDS,NETHERLANDS,ENGLAND,ENGLAND,ARGENTINA,ARGENTINA,DENMARK
Player 157,GHANA,MEXICO,GHANA,ARGENTINA,ARGENTINA,NETHERLANDS,NETHERLANDS,SERBIA,SERBIA,MEXICO
Player 158,ARGENTINA,CROATIA,ARGENTINA,SPAIN,GERMANY,ENGLAND,ENGLAND,BRAZIL,PORTUGAL,FRANCE
Player 159,SERBIA,WALES,MOROCCO,MEXICO,URUGUAY,POLAND,FRANCE,POLAND,WALES,FRANCE
Player 160,DENMARK,MOROCCO,NETHERLANDS,MEXICO,URUGUAY,BRAZIL,CROATIA,SPAIN,NETHERLANDS,ARGENTINA
Player 161,DENMARK,FRANCE,DENMARK,DENMARK,DENMARK,NETHERLANDS,NETHERLANDS,NETHERLANDS,NETHERLANDS,BELGIUM
Player 162,ARGENTINA,JAPAN,ARGENTINA,ARGENTINA,ARGENTINA,BRAZIL,BRAZIL,FRANCE,FRANCE,JAPAN
Player 163,ENGLAND,PORTUGAL,ENGLAND,SENEGAL,SPAIN,SPAIN,BRAZIL,BRAZIL,SERBIA,PORTUGAL
Player 164,BELGIUM,DENMARK,BELGIUM,BELGIUM,BELGIUM,BRAZIL,BRAZIL,CROATIA,CROATIA,DENMARK
Player 165,ECUADOR,BRAZIL,ECUADOR,SENEGAL,SENEGAL,ENGLAND,ENGLAND,SPAIN,SPAIN,BRAZIL
Player 166,IRAN,SPAIN,IRAN,ARGENTINA,ARGENTINA,FRANCE,FRANCE,GERMANY,GERMANY,ENGLAND
Player 167,ARGENTINA,SOUTH KOREA,ARGENTINA,FRANCE,FRANCE,AUSTRALIA,AUSTRALIA,WALES,SENEGAL,SENEGAL
Player 168,QATAR,USA,PORTUGAL,NETHERLANDS,BELGIUM,BRAZIL,ENGLAND,CAMEROON,GERMANY,IRAN
Player 169,BRAZIL,SENEGAL,BRAZIL,BRAZIL,BRAZIL,FRANCE,FRANCE,ENGLAND,ENGLAND,GERMANY
Player 170,FRANCE,ARGENTINA,FRANCE,FRANCE,BRAZIL,BRAZIL,BRAZIL,ENGLAND,ENGLAND,ARGENTINA
Player 171,ARGENTINA,ARGENTINA,ARGENTINA,BRAZIL,BRAZIL,FRANCE,FRANCE,SPAIN,ENGLAND,PORTUGAL
Player 172,GERMANY,MEXICO,TUNISIA,SWITZERLAND,ECUADOR,IRAN,MOROCCO,SENEGAL,SERBIA,DENMARK
Player 173,CANADA,NETHERLANDS,BELGIUM,BELGIUM,NETHERLANDS,NETHERLANDS,DENMARK,USA,USA,GHANA
Player 174,PORTUGAL,ARGENTINA,BRAZIL,BRAZIL,ENGLAND,ENGLAND,ENGLAND,ENGLAND,ARGENTINA,ARGENTINA
Player 175,BRAZIL,TUNISIA,BRAZIL,BRAZIL,BRAZIL,MEXICO,MEXICO,SENEGAL,SENEGAL,TUNISIA
Player 176,ARGENTINA,SPAIN,SENEGAL,SENEGAL,SENEGAL,URUGUAY,URUGUAY,ARGENTINA,SPAIN,SPAIN
Player 177,ARGENTINA,GERMANY,ARGENTINA,FRANCE,SPAIN,SPAIN,URUGUAY,URUGUAY,SERBIA,MOROCCO
Player 178,BELGIUM,WALES,BELGIUM,NETHERLANDS,NETHERLANDS,NETHERLANDS,SWITZERLAND,SWITZERLAND,SWITZERLAND,WALES
Player 179,ARGENTINA,ENGLAND,ARGENTINA,ARGENTINA,ARGENTINA,PORTUGAL,PORTUGAL,BRAZIL,ENGLAND,ENGLAND
Player 180,NETHERLANDS,NETHERLANDS,POLAND,POLAND,DENMARK,NETHERLANDS,DENMARK,SENEGAL,SENEGAL,ARGENTINA
Player 181,GERMANY,CANADA,GERMANY,GERMANY,GERMANY,ENGLAND,ENGLAND,ENGLAND,ENGLAND,CANADA
Player 182,NETHERLANDS,POLAND,NETHERLANDS,URUGUAY,URUGUAY,DENMARK,DENMARK,FRANCE,FRANCE,FRANCE
Player 183,SENEGAL,URUGUAY,SENEGAL,MEXICO,SPAIN,SPAIN,SPAIN,CROATIA,BRAZIL,URUGUAY
